idx,prediction,actual,correct,confidence,prob_up,actual_return,meets_threshold
8420,0,1,False,0.5230798452979407,0.47692015470205923,0.015126531212854196,False
8421,0,1,False,0.5403582121992204,0.45964178780077947,0.004328870436929003,False
8422,0,1,False,0.5242184616917457,0.47578153830825437,0.018935993307791846,False
8423,0,0,True,0.5316214718559794,0.46837852814402064,-0.004366224467980122,False
8424,0,0,True,0.5328434409497602,0.46715655905023973,-0.019750247995703466,False
8425,0,0,True,0.5680139692549393,0.43198603074506076,-0.017803614813493882,False
8426,0,0,True,0.591666272557045,0.40833372744295504,-0.013325811499668655,False
8427,0,0,True,0.6312190856398108,0.36878091436018917,-0.04348270879822839,True
8428,0,0,True,0.6490061360292407,0.35099386397075927,-0.020727013554392236,True
8429,0,0,True,0.6489414080419086,0.35105859195809136,-0.004886233498178365,True
8430,0,1,False,0.5883044320786802,0.4116955679213197,0.007351230541050137,False
8431,0,1,False,0.6009604014242262,0.3990395985757737,0.004906026921443082,True
8432,0,1,False,0.570692943594362,0.429307056405638,0.025770780506614337,False
8433,0,1,False,0.5874976898858885,0.41250231011411165,0.009393750075352838,False
8434,0,1,False,0.5614160314997779,0.438583968500222,0.016054690622048135,False
8435,0,1,False,0.5670482422953982,0.4329517577046018,0.011647357703864162,False
8436,0,1,False,0.6096504949863109,0.39034950501368915,0.041070869232618795,True
8437,0,1,False,0.674986424446824,0.325013575553176,0.046909392277921166,True
8438,0,1,False,0.590210567378708,0.4097894326212919,0.06537826514601228,False
8439,0,1,False,0.5530720870505755,0.4469279129494244,0.05015573457312559,False
8440,0,1,False,0.5460339034378549,0.45396609656214504,0.06940985060756392,False
8441,0,1,False,0.5802350924096249,0.41976490759037505,0.044482787688581646,False
8442,0,1,False,0.5398594149128891,0.4601405850871109,0.02231509182682883,False
8443,0,1,False,0.5690057862231698,0.4309942137768303,0.015402295788115363,False
8444,0,1,False,0.532197260887922,0.46780273911207804,0.04622237083925739,False
8445,1,1,True,0.5009677575920025,0.5009677575920025,0.010276472818429364,False
8446,0,1,False,0.5533257014428871,0.4466742985571129,0.0020621216309631347,False
8447,0,0,True,0.5706285953960645,0.4293714046039356,-0.0050750860599759,False
8448,0,0,True,0.5710086609080762,0.4289913390919237,-0.01719045938416786,False
8449,0,0,True,0.5765836963946088,0.4234163036053913,-0.05720014723046354,False
8450,0,0,True,0.5368446286163583,0.4631553713836416,-0.06703062445842954,False
8451,0,0,True,0.5546611665253871,0.44533883347461295,-0.05356790815240975,False
8452,0,0,True,0.553960504367974,0.44603949563202616,-0.046631068438938626,False
8453,0,0,True,0.593328229949332,0.40667177005066796,-0.059512320324647656,False
