prediction,actual,correct,confidence
-1,-1,True,0.35028984479114483
-1,1,False,0.34920031599133977
-1,-1,True,0.4263574269899034
-1,1,False,0.424800578329588
-1,-1,True,0.6860446081162953
-1,-1,True,0.4860449104407072
-1,1,False,0.4471726214637137
-1,1,False,0.397587215226033
-1,1,False,0.7250116529792842
-1,1,False,0.736964727176317
-1,-1,True,0.7503412914044559
-1,1,False,0.8120005161723766
-1,1,False,0.6980230512032852
-1,1,False,0.561525933532607
-1,1,False,0.5768325908071654
-1,-1,True,0.6411959799905201
-1,1,False,0.49108614166173264
-1,-1,True,0.540673348693209
-1,1,False,0.4337995152660778
-1,-1,True,0.5357937011272436
-1,1,False,0.4219859539989603
-1,-1,True,0.5132924378009132
-1,1,False,0.49167921233472134
-1,-1,True,0.465608475606483
-1,1,False,0.5682466635883977
-1,1,False,0.557452773749843
-1,-1,True,0.5467868498027725
-1,-1,True,0.47830132028664823
-1,-1,True,0.44229314990759866
-1,1,False,0.2623430828409969
-1,-1,True,0.5176849585217483
-1,-1,True,0.44188015902914013
-1,1,False,0.2725016370176062
-1,-1,True,0.37558696060391644
-1,1,False,0.622138570661921
-1,1,False,0.4894645609116035
-1,1,False,0.7863107909202238
-1,-1,True,0.8104536678068379
-1,-1,True,0.7059988098380217
-1,1,False,0.4609618873136465
-1,-1,True,0.44369305191264874
-1,1,False,0.4442881915898614
-1,1,False,0.5082331688445045
-1,-1,True,0.8057761691372113
-1,-1,True,0.6613831044393318
-1,-1,True,0.586088928320412
-1,1,False,0.3933817122466846
-1,1,False,0.3558584523141348
-1,1,False,0.6548485902300635
-1,1,False,0.5751644145097687
-1,-1,True,0.8027554395622333
-1,1,False,0.7681371335338087
-1,-1,True,0.7116251122882616
-1,1,False,0.5433118529786968
-1,1,False,0.40699249771260326
-1,-1,True,0.6063561299514871
-1,-1,True,0.43761306948364265
-1,1,False,0.2967644757187942
-1,-1,True,0.24501342597291326
-1,-1,True,0.33709758135636986
-1,1,False,0.23633663402270996
-1,1,False,0.2358232515073405
-1,-1,True,0.5427013469484393
-1,-1,True,0.5714131795144933
-1,1,False,0.2673558711457842
-1,-1,True,0.3258626745587264
-1,1,False,0.22643739455166775
-1,1,False,0.34468868613422315
-1,-1,True,0.4478494526351472
-1,1,False,0.18119072278821532
-1,1,False,0.2517881446853946
-1,-1,True,0.6572667767828396
-1,-1,True,0.7667749822020044
-1,1,False,0.556120572553137
-1,-1,True,0.5759419025946201
-1,1,False,0.588329344768781
-1,1,False,0.572269653117756
-1,-1,True,0.606768752464727
-1,1,False,0.2695564269808706
-1,-1,True,0.35832389366579004
-1,-1,True,0.24098215923592348
-1,-1,True,0.5034628178384415
-1,1,False,0.34796413634338735
-1,-1,True,0.5047810442756261
-1,-1,True,0.4749789003897278
-1,1,False,0.2293013001883519
-1,-1,True,0.2647351037587969
-1,1,False,0.4131568972495837
-1,-1,True,0.5315839798293347
-1,1,False,0.5475300347896693
-1,-1,True,0.6021989493857133
-1,1,False,0.5722012360142978
-1,1,False,0.623535241780858
-1,-1,True,0.5630847134569952
-1,1,False,0.28025565169182076
-1,-1,True,0.34544849398758065
-1,1,False,0.3053209323372148
-1,1,False,0.5355612779301144
-1,1,False,0.6765936205141927
-1,-1,True,0.7430843075513107
-1,1,False,0.6868891642003258
-1,-1,True,0.6787481389244926
-1,1,False,0.4580615116147461
-1,1,False,0.452973427650934
-1,1,False,0.7226052589730098
-1,-1,True,0.7118920625868791
-1,1,False,0.3352064540871928
-1,1,False,0.42432032350276655
-1,1,False,0.606072934061741
-1,-1,True,0.7466083686097118
-1,-1,True,0.6355307221727879
-1,1,False,0.5098374960939327
-1,1,False,0.5034681362512213
-1,-1,True,0.5407222342406185
-1,-1,True,0.6570262550438032
-1,-1,True,0.49554897156604866
-1,1,False,0.48169564810220106
-1,1,False,0.46189925496412854
