prediction,actual,correct,confidence,prob_up
0,0,True,0.6897233995523915,0.31027660044760846
0,0,True,0.7940385102128188,0.20596148978718135
0,0,True,0.6884054920758309,0.3115945079241691
0,0,True,0.6893127260873411,0.310687273912659
0,1,False,0.7964770937596781,0.20352290624032177
0,1,False,0.7142326235310561,0.28576737646894373
0,1,False,0.5547484225936756,0.4452515774063243
0,1,False,0.6206463778370849,0.37935362216291524
0,1,False,0.551422788475527,0.44857721152447294
1,1,True,0.5127901272883957,0.5127901272883957
0,1,False,0.7604844469458181,0.2395155530541818
0,1,False,0.7510996028730342,0.24890039712696568
0,1,False,0.7504385631725969,0.24956143682740317
0,1,False,0.677167885396948,0.3228321146030518
0,1,False,0.6993198922465124,0.30068010775348764
0,1,False,0.652984312580086,0.347015687419914
0,1,False,0.6290489468856224,0.3709510531143776
0,1,False,0.5454203743607622,0.4545796256392379
0,0,True,0.5715484164363244,0.42845158356367563
0,0,True,0.6295212540831479,0.37047874591685215
0,0,True,0.6386098526134132,0.36139014738658676
0,0,True,0.5443010987398702,0.45569890126013013
0,0,True,0.6327944720147443,0.36720552798525585
0,0,True,0.6305818624311651,0.36941813756883496
0,0,True,0.5281956880682799,0.4718043119317202
0,0,True,0.5372808461866252,0.46271915381337475
1,0,False,0.5676891272205009,0.5676891272205009
1,0,False,0.6181131769947994,0.6181131769947994
1,0,False,0.6028495806418621,0.6028495806418621
0,0,True,0.567144588911276,0.43285541108872394
0,0,True,0.6123951193062322,0.3876048806937679
1,0,False,0.557143150255358,0.557143150255358
0,1,False,0.5689744567571129,0.43102554324288705
1,1,True,0.6089086766717395,0.6089086766717395
0,1,False,0.5141884229214375,0.48581157707856276
0,1,False,0.5860649116807766,0.4139350883192234
1,1,True,0.5935939899789163,0.5935939899789163
0,1,False,0.5228290958864785,0.47717090411352164
1,1,True,0.618988983025726,0.618988983025726
0,1,False,0.5000773730665502,0.4999226269334499
1,0,False,0.6999342177283572,0.6999342177283572
1,0,False,0.6265202852934674,0.6265202852934674
1,0,False,0.6794245728189743,0.6794245728189743
0,1,False,0.508811731508205,0.4911882684917948
1,1,True,0.6174769180775931,0.6174769180775931
1,1,True,0.6308785611433328,0.6308785611433328
1,1,True,0.6216990550408109,0.6216990550408109
1,1,True,0.6760039698250858,0.6760039698250858
1,1,True,0.6362427291279469,0.6362427291279469
1,1,True,0.6536958310784864,0.6536958310784864
1,1,True,0.5546879985145401,0.5546879985145401
1,1,True,0.530048512558065,0.530048512558065
1,0,False,0.7262154395240965,0.7262154395240965
1,0,False,0.7908755816001755,0.7908755816001755
1,0,False,0.729432243919641,0.729432243919641
1,0,False,0.6244018649643591,0.6244018649643591
1,0,False,0.6224895657004104,0.6224895657004104
1,1,True,0.5666009552074189,0.5666009552074189
1,0,False,0.7177577563027547,0.7177577563027547
1,0,False,0.7200581317185546,0.7200581317185546
1,0,False,0.6531687689581986,0.6531687689581986
1,0,False,0.6343784766482239,0.6343784766482239
0,0,True,0.520536697735247,0.479463302264753
0,0,True,0.5769639114307406,0.42303608856925945
0,0,True,0.559741880314531,0.44025811968546896
1,0,False,0.5439842154926364,0.5439842154926364
1,0,False,0.7218344434543289,0.7218344434543289
1,0,False,0.7335904197775485,0.7335904197775485
1,0,False,0.5059504276475049,0.5059504276475049
1,0,False,0.5884269632896363,0.5884269632896363
0,0,True,0.5146601886672235,0.4853398113327765
1,0,False,0.5090711599764273,0.5090711599764273
1,0,False,0.5799021514836512,0.5799021514836512
1,0,False,0.6552259883104944,0.6552259883104944
1,0,False,0.8169140147252961,0.8169140147252961
1,0,False,0.8487215096953714,0.8487215096953714
1,1,True,0.9103203999195777,0.9103203999195777
1,0,False,0.8777403418048169,0.8777403418048169
1,0,False,0.9325317263598979,0.9325317263598979
1,1,True,0.9390247673150621,0.9390247673150621
1,0,False,0.9043807162202614,0.9043807162202614
1,0,False,0.8656253139489289,0.8656253139489289
1,1,True,0.8519133201126202,0.8519133201126202
1,1,True,0.8597623053019685,0.8597623053019685
1,1,True,0.8608813816186087,0.8608813816186087
1,1,True,0.8610604715073022,0.8610604715073022
1,1,True,0.8516534587123348,0.8516534587123348
1,1,True,0.8272321505889273,0.8272321505889273
1,1,True,0.829256774493305,0.829256774493305
1,1,True,0.7139101931889138,0.7139101931889138
1,1,True,0.6031510585928177,0.6031510585928177
0,1,False,0.553989956845903,0.446010043154097
0,1,False,0.5300562580899576,0.4699437419100424
1,0,False,0.5743290263283201,0.5743290263283201
1,0,False,0.6608712564058533,0.6608712564058533
1,0,False,0.7857832962007162,0.7857832962007162
1,0,False,0.858024974545146,0.858024974545146
1,0,False,0.8542369782453554,0.8542369782453554
1,0,False,0.8468272242556071,0.8468272242556071
1,0,False,0.6317488444125539,0.6317488444125539
1,0,False,0.8308095157142231,0.8308095157142231
1,0,False,0.7188519859247577,0.7188519859247577
1,1,True,0.7487543859203676,0.7487543859203676
1,0,False,0.7337556430835621,0.7337556430835621
1,1,True,0.7080891148273774,0.7080891148273774
1,1,True,0.674103346242041,0.674103346242041
1,1,True,0.6864745151967837,0.6864745151967837
1,1,True,0.5643399143641592,0.5643399143641592
1,1,True,0.7700302631060116,0.7700302631060116
1,1,True,0.7421622880534291,0.7421622880534291
1,1,True,0.6000630529596489,0.6000630529596489
1,0,False,0.7436069971164173,0.7436069971164173
1,0,False,0.7718935345601692,0.7718935345601692
1,0,False,0.7707504313569228,0.7707504313569228
1,0,False,0.838524499884175,0.838524499884175
1,0,False,0.8381344300442664,0.8381344300442664
1,0,False,0.7811721944428068,0.7811721944428068
1,0,False,0.834707051223249,0.834707051223249
1,1,True,0.8534071052167433,0.8534071052167433
1,1,True,0.7760302792761409,0.7760302792761409
1,0,False,0.8333059298963519,0.8333059298963519
0,1,False,0.540336642282273,0.45966335771772704
1,1,True,0.6060417296192585,0.6060417296192585
